run_id,model_name,dataset_name,num_epochs,learning_rate,batch_size,dataset_size,dataset_phase_sizes,best_auc,best_epoch,best_acc,best_acc_epoch,best_loss,best_loss_epoch,dropout,device,training_duration_seconds,Unnamed: 0,max_audio_seconds,sample_rate,weight_decay,stft_frame_length,stft_frame_step,n_mels,mel_fmin,mel_fmax,label_set_training,class_weighting_on,flocal_loss_on,focal_loss_on,balanced_cry_types,early_stopping_epoch,run_desc,run_time,balanced_cry_types_augmented,balanced_cry_types_by_removal,balanced_cry_types_spec_augmentation,balanced_cry_types_mixup_augmentation
,,,,,,,,,,,,,,,,,CryLSTMClassifierBatchNorm,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,CryLSTMConvClassifier,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,CryCNNClassifier,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,CryCNNClassifierComplex,,,,,,,,,,,,,,,,,,,,
56.0,CryCNNClassifierComplex,EnesBabyCries1B,40.0,0.001,30.0,23067.0,"{'train': 17300, 'val': 3460, 'test': 2307}",0.7439171526863207,24.0,0.5453757225433526,24.0,0.9598811895861102,24.0,0.2,mps,7864.32102894783,,1.5,22050.0,0.0001,512.0,128.0,80.0,120.0,11025.0,"{'lo', 'hu', 'dc'}",False,,False,True,30.0,Trying higher learning rate and for winning CNN model,2026-05-21_23-12-58,,,,
57.0,CryCNNClassifierComplex,EnesBabyCries1B,40.0,0.001,30.0,23067.0,"{'train': 17300, 'val': 3460, 'test': 2307}",0.7439171526863207,24.0,0.5453757225433526,24.0,0.9598811895861102,24.0,0.2,mps,7864.32102894783,,1.5,22050.0,0.0001,512.0,128.0,80.0,120.0,11025.0,"{'lo', 'hu', 'dc'}",False,,False,True,30.0,Trying higher learning rate and for winning CNN model,2026-05-21_23-12-58,,,,
58.0,CryCNNClassifierComplex,EnesBabyCries1B,1.0,0.005,30.0,23067.0,"{'train': 17300, 'val': 3460, 'test': 2307}",0.6228519555063453,0.0,0.4141618497109826,0.0,1.071767344984705,0.0,0.2,mps,46.987669944763184,,1.5,22050.0,0.0001,512.0,128.0,80.0,120.0,11025.0,"{'lo', 'hu', 'dc'}",False,,False,True,30.0,Trying higher learning rate and for winning CNN model,2026-05-21_23-16-13,,,,
59.0,CryCNNClassifierComplex,EnesBabyCries1B,1.0,0.001,30.0,23067.0,"{'train': 17300, 'val': 3460, 'test': 2307}",0.6608694249515296,0.0,0.453757225433526,0.0,1.0546871043009565,0.0,0.2,mps,46.78239989280701,,1.5,22050.0,0.0001,512.0,128.0,80.0,120.0,11025.0,"{'lo', 'hu', 'dc'}",False,,False,True,30.0,Trying higher learning rate and for winning CNN model,2026-05-21_23-20-17,,,,
60.0,CryCNNClassifierComplex,EnesBabyCries1B,30.0,0.001,30.0,23067.0,"{'train': 17300, 'val': 3460, 'test': 2307}",0.8036611297829861,18.0,0.6132947976878613,21.0,0.8556466877805016,18.0,0.2,mps,1729.3900039196014,,1.5,22050.0,0.0,512.0,128.0,80.0,120.0,11025.0,"{'lo', 'hu', 'dc'}",False,,False,True,30.0,Trying higher learning rate and for winning CNN model,2026-05-21_23-23-32,,,,
61.0,CryCNNClassifierComplex,EnesBabyCries1B,30.0,0.001,30.0,23067.0,"{'train': 17300, 'val': 3460, 'test': 2307}",0.8140958037459756,22.0,0.6355491329479769,22.0,0.8402052723258906,22.0,0.2,mps,13076.126184940338,,1.5,22050.0,0.0001,512.0,128.0,80.0,120.0,11025.0,"{'lo', 'hu', 'dc'}",False,,False,True,18.0,Trying higher learning rate and for winning CNN model,2026-05-22_00-47-43,,,,
62.0,CryCNNClassifierComplex,EnesBabyCries1B,30.0,0.001,30.0,28214.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.8217734859840037,12.0,0.6420132325141777,20.0,0.8232246357349007,18.0,0.2,mps,1821.6673457622528,,1.5,22050.0,0.0001,512.0,128.0,80.0,120.0,11025.0,"{'lo', 'hu', 'dc'}",False,,False,False,25.0,"Using all, unbalanced data.",2026-05-22_12-14-06,False,,,
63.0,CryCNNClassifierComplex,EnesBabyCries1B,30.0,0.001,30.0,28214.0,"{'train': 26232, 'val': 4232, 'test': 2822}",0.8201851285658437,23.0,0.6472117202268431,23.0,0.8113311531272187,23.0,0.2,mps,2197.10022687912,,1.5,22050.0,0.0001,512.0,128.0,80.0,120.0,11025.0,"{'lo', 'hu', 'dc'}",False,,False,False,,Adding data synthesized via spec augmentation to training.,2026-05-22_13-56-01,True,,,
64.0,CryCNNClassifierComplex,EnesBabyCries1B,30.0,0.001,30.0,28214.0,"{'train': 26166, 'val': 4232, 'test': 2822}",0.8110259039903225,23.0,0.6372873345935728,15.0,0.8197710059709945,21.0,0.2,mps,2207.596346139908,,1.5,22050.0,0.0001,512.0,128.0,80.0,120.0,11025.0,"{'lo', 'hu', 'dc'}",False,,False,,,Adding data synthesized via data mixup.,2026-05-22_14-50-27,,False,False,True
65.0,CryCNNClassifierComplex,EnesBabyCries1B,15.0,0.001,30.0,23067.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.7432620754603407,13.0,0.5541115311909263,14.0,0.9418396631181803,12.0,0.2,mps,974.8612389564514,,1.5,22050.0,0.0001,512.0,128.0,80.0,120.0,11025.0,"{'lo', 'dc', 'hu'}",False,,False,,,Limiting training to 15 epochs to avoid overfitting.,2026-05-25_13-48-29,,True,False,True
66.0,CryCNNClassifierComplex,EnesBabyCries1B,15.0,0.001,30.0,23067.0,"{'train': 21160, 'val': 4232, 'test': 2822}",0.7432620754603407,13.0,0.5541115311909263,14.0,0.9418396631181803,12.0,0.2,mps,974.8612389564514,,1.5,22050.0,0.0001,512.0,128.0,80.0,120.0,11025.0,"{'lo', 'dc', 'hu'}",False,,False,,,Limiting training to 15 epochs to avoid overfitting.,2026-05-25_13-48-29,,True,False,True
